candidate,state,totdollars
"BURTON, JOHN L",CA,170500
"SCOTT, JACK",CA,159099
"MARGETT, BOB",CA,135949
"DE LEON, KEVIN",CA,73400
"ROMERO, GLORIA",CA,61750
"FASANO, MIKE",FL,30750
"CARDOZA, DENNIS A",CA,16599
"HARIDOPOLOS, MIKE",FL,16500
"MCINTOSH, MAGGIE L",MD,13225
"POSEY, BILL",FL,9238
"BORRELLI, SONNY",AZ,7700
"VASCONCELLOS, JOHN",CA,7250
"LESLIE, TIM",CA,6400
"NIEZGODSKI, DAVID L",IN,6300
"GIBSON III, HUGH H",FL,5500
"WASHINGTON, CARL",CA,5500
"SHER, BYRON D",CA,4500
"PAYNE, KEVIN",AZ,3300
"ST GERMAIN, KAREN",LA,3150
"GEYMANN, BRETT F",LA,2900
"MORRELL, J P",LA,2750
"TALLIAN, KAREN",IN,2750
"SANDLIN, JACK E",IN,2100
"MOUNT, WILLIE L",LA,1900
"HAYES, ANTONIO L",MD,1500
"PIERCE, JUSTIN",AZ,1124
"SPEEDY, MIKE",IN,500
"PRESSEL, JIM",IN,100
