election_jurisdiction,election_year,party,party_committee,contributor,type_of_contributor,specific_business,general_industry,broad_sector,parent_org_or_employer,number_of_records,dollar_amount
FL,2010,Democratic,FLORIDA DEMOCRATIC PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,42,428500
CA,2012,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,7,305000
CA,2014,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,265000
CA,2016,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,265000
CA,2019,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,7,215000
FL,2006,Republican,FLORIDA REPUBLICAN PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,19,214500
CA,2018,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,7,205000
CA,2010,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,200000
CA,2006,Democratic,CALIFORNIA DEMOCRATIC PARTY,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,185000
CA,2017,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,180000
CA,2008,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,177000
CA,2018,Democratic,CALIFORNIA DEMOCRATIC PARTY,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,175000
FL,2000,Republican,FLORIDA REPUBLICAN PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,35,170700
FL,2007,Republican,FLORIDA REPUBLICAN PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,12,165000
FL,2002,Republican,FLORIDA REPUBLICAN PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,31,157500
CA,2015,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,155000
CA,2008,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,150000
CA,2017,Democratic,CALIFORNIA DEMOCRATIC PARTY,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,150000
CA,2019,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,150000
FL,2004,Republican,FLORIDA REPUBLICAN PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,22,148500
FL,2008,Republican,FLORIDA REPUBLICAN PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,8,145000
FL,2005,Republican,FLORIDA REPUBLICAN PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,19,143500
CA,2019,Democratic,CALIFORNIA DEMOCRATIC PARTY,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,140000
FL,2000,Democratic,FLORIDA DEMOCRATIC PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,27,139500
FL,2006,Democratic,FLORIDA DEMOCRATIC PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,19,136500
CA,2014,Democratic,CALIFORNIA DEMOCRATIC PARTY,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,133900
