general_party,contributor,type_of_contributor,specific_business,general_industry,broad_sector,number_of_records,dollar_amount
Democratic,CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,917,2119172.46
Democratic,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,798,1887997
Democratic,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,619,1199599.77
Democratic,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,513,853365.13
Democratic,NEW JERSEY STATE PBA LOCAL 600,Non-Individual,Police unions & associations,Public Sector Unions,Labor,629,799925
Democratic,LOS ANGELES POLICE PROTECTIVE LEAGUE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,265,757625
Democratic,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,476,706878.2
Democratic,NEW YORK STATE CORRECTIONAL OFFICERS,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,439,673935
Republican,NEW YORK STATE CORRECTIONAL OFFICERS,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,441,540030
Democratic,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,527,525026
Democratic,CORRECTION OFFCIERS BENEVOLENT ASSOCIATION,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,258,507215
Republican,CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,223,504150
Democratic,NASSAU COUNTY POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,246,480350
Democratic,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,237,407600
Republican,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,182,379550
Republican,HOUSTON POLICE OFFICERS UNION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,142,374000
Democratic,PENNSYLVANIA STATE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,270,367025
Democratic,PENNSYLVANIA STATE CORRECTIONS OFFICES ASSOCIATION,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,198,359650
Democratic,HOUSTON POLICE OFFICERS UNION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,132,357226.97
Republican,PENNSYLVANIA STATE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,297,347937.11
Democratic,LOS ANGELES COUNTY PROFESSIONAL PEACE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,236,332375
Democratic,PORT AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,162,305700
Democratic,FAIRFAX COUNTY PROFESSIONAL FIRE FIGHTERS & PARAMEDICS LOCAL 2068,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,248,304359
Republican,TEXAS CORRECTIONAL OFFICERS,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,73,296500
Democratic,POLICE BENEVOLENT ASSOCIATION OF NEW YORK STATE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,442,267269
Democratic,LAS VEGAS POLICE PROTECTIVE ASSOCIATION CIVILIAN EMPLOYEES,Non-Individual,Police unions & associations,Public Sector Unions,Labor,121,257600
Republican,PENNSYLVANIA STATE CORRECTIONS OFFICES ASSOCIATION,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,189,252300
Republican,VIRGINIA SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,550,234893.95
Republican,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,262,234453.87
Republican,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,339,233931.87
Democratic,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,265,231000
Republican,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,138,226450
Democratic,MASSACHUSETTS CORRECTIONS OFFICERS FEDERAL UNION,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,568,224403.93
Republican,NEW JERSEY STATE PBA LOCAL 600,Non-Individual,Police unions & associations,Public Sector Unions,Labor,215,219986.66
Democratic,ASSOCIATION OF ORANGE COUNTY DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,85,214924.85
Democratic,STATE POLICE ASSOCIATION OF MASSACHUSETTS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,534,212275
Republican,LOUISIANA SHERIFFS & DEPUTIES ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,197,207599.2
Democratic,RHODE ISLAND BROTHERHOOD OF CORRECTIONAL OFFICERS,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,560,200951
Democratic,WASHINGTON COUNCIL OF POLICE & SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,314,187925
Democratic,WASHINGTON STATE PATROL TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,217,182075
Republican,SOUTHERN STATES POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,155,174697.34
Republican,DALLAS POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,129,173503.71
Democratic,NEW YORK CITY DETECTIVES ENDOWMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,316,173455
Democratic,BOSTON POLICE PATROLMENS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,367,171775
Democratic,LONG BEACH POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,72,167522.42
Republican,VIRGINIA STATE POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,542,167047.32
Democratic,METROPOLITAN TRANSPORTATION AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,249,159425
Democratic,NEW YORK STATE POLICE INVESTIGATORS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,235,159060
Democratic,VIRGINIA SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,512,158310.04
Democratic,NEW YORK CITY SERGEANTS BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,53,142150
Democratic,NEW JERSEY STATE TROOPERS NON-COMMISSIONED OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,219,141625
Democratic,NEW JERSEY STATE TROOPERS FRATERNAL ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,214,140377
Democratic,VIRGINIA STATE POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,514,138800
