candidate.x,candidate.y,state.x,election_jurisdiction,party,general_party,last_name,first_name,middle_initial,jr_ifapplicable,office,bill_pass_date,bill_number,original_or_amendment,Note,candidate_entity,election_status,status_of_candidate,specific_party,election_year,election_type,office_sought,incumbency_status,original_name,contributor,type_of_contributor,specific_business,general_industry,broad_sector,dollar_amount,date,last_updated,type_of_transaction,purpose,city,state.y,zip,in_state,parent_org_or_employer,recipient
"LESLIE, TIMOTHY","LESLIE, TIM",CA,CA,REPUBLICAN,REPUBLICAN,LESLIE,TIMOTHY,NA,NA,1ST DISTRICT,8/27/1994,SB 1860,Amendment,NA,"LESLIE, TIM",Won-General,Won,REPUBLICAN,2000,Standard,ASSEMBLY DISTRICT 004,Open,CALIF UNION OF SAFETY EMPLOYEES INDEPENDENT EXPENDITURE,CALIFORNIA UNION OF SAFETY EMPLOYEES,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,1250,2/17/2000,12/18/2017,DIR,NA,SACRAMENTO,CA,95814,1,NA,"LESLIE, TIM"
"CARDOZA, DENNIS","CARDOZA, DENNIS A",CA,CA,DEMOCRAT,DEMOCRATIC,CARDOZA,DENNIS,NA,NA,26TH DISTRICT,7/11/1997,AB 1436,Amendment,NA,"CARDOZA, DENNIS A",Won-General,Won,DEMOCRATIC,2000,Standard,ASSEMBLY DISTRICT 026,Incumbent,CAUSE INDEPENDENT EXPENDITURE / CA UNION OF SAFETY EMPLOYEES,CALIFORNIA UNION OF SAFETY EMPLOYEES,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,2500,10/31/2000,12/18/2017,DIR,NA,SACRAMENTO,CA,95814,1,NA,"CARDOZA, DENNIS A"
"SCOTT, JACK A","SCOTT, JACK",CA,CA,DEMOCRAT,DEMOCRATIC,SCOTT,JACK,A,NA,44TH DISTRICT,6/18/1998,AB 2293,Amendment,NA,"SCOTT, JACK",Won-General,Won,DEMOCRATIC,2000,Standard,SENATE DISTRICT 021,Open,NATIVE AMERICANS & PEACE OFFICERS PAC,NATIVE AMERICANS & PEACE OFFICERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,100000,2/19/2000,6/8/2020,DIR,NA,WEST SACRAMENTO,CA,95605,1,NA,"SCOTT, JACK"
"SHER, BYRON","SHER, BYRON D",CA,CA,DEMOCRAT,DEMOCRATIC,SHER,BYRON,NA,NA,11TH DISTRICT,8/17/2004,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"SHER, BYRON D",Won-General,Won,DEMOCRATIC,2000,Standard,SENATE DISTRICT 011,Incumbent,CA ASSOCIATION OF HIGHWAY PATROLMEN PAC,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1000,NA,6/8/2020,DIR,NA,SACRAMENTO,CA,95818,1,NA,"SHER, BYRON D"
"GIBSON, HUGH H","GIBSON III, HUGH H",FL,FL,REPUBLICAN,REPUBLICAN,GIBSON,HUGH,H,III,42ND DISTRICT,5/3/2007,HB 123,Amendment,One provision in this update says an accused officer should be the last person interviewed in an investigation and they should be allowed to view all prior statements made by others.,"GIBSON III, HUGH H",Won-General,Won,REPUBLICAN,2002,Standard,HOUSE DISTRICT 042,Incumbent,FL POLICE BENEVOLENT ASSOC INC PAC,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,500,12/3/2001,6/8/2020,DIR,NA,TALLAHASSEE,FL,32302,1,NA,"GIBSON III, HUGH H"
"SANDLIN, JACK","SANDLIN, JACK E",IN,IN,REPUBLICAN,REPUBLICAN,SANDLIN,JACK,NA,NA,36TH DISTRICT,4/30/2019,SB 79,Original,NA,"SANDLIN, JACK E",Won-General,Won,REPUBLICAN,2016,Standard,SENATE DISTRICT 036,Open,FRATERNAL ORDER OF POLICE INDIANA STATE LODGE P.A.C,FRATERNAL ORDER OF POLICE INDIANA STATE LODGE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,500,9/14/2016,6/8/2020,DIR,NA,HIGHLAND,IN,46322,1,NA,"SANDLIN, JACK E"
"NIEZGODSKI, DAVID","NIEZGODSKI, DAVID L",IN,IN,DEMOCRAT,DEMOCRATIC,NIEZGODSKI,DAVID,NA,NA,10TH DISTRICT,3/11/2020,HB 1015,Amendment,Extends the bill of rights to firefighters.,"NIEZGODSKI, DAVID L",Won-General,Won,DEMOCRATIC,2008,Standard,HOUSE DISTRICT 007,Incumbent,FRATERNAL ORDER OF POLICAE IND STATE LODGE PAC,INDIANA STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1000,12/10/2007,6/8/2020,DIR,NA,INDIANAPOLIS,IN,46201,1,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,"NIEZGODSKI, DAVID L"
"GEYMANN, BRETT","GEYMANN, BRETT F",LA,LA,REPUBLICAN,REPUBLICAN,GEYMANN,BRETT,NA,NA,35TH DISTRICT,6/12/2007,HB 350,Amendment,NA,"GEYMANN, BRETT F",Won-General,Won,REPUBLICAN,2007,Standard,HOUSE DISTRICT 035,Incumbent,HAL TURNER LA SHERIFFS & DEPUTIES PAC,LOUISIANA SHERIFFS & DEPUTIES ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1100,10/15/2007,6/8/2020,DIR,NA,BATON ROUGE,LA,70802,1,NA,"GEYMANN, BRETT F"
"ST. GERMAIN, KAREN G","ST GERMAIN, KAREN",LA,LA,DEMOCRAT,DEMOCRATIC,ST. GERMAIN,KAREN,G,NA,60TH DISTRICT,6/9/2008,HB 93,Amendment,Expanded bill of rights to police employees.,"ST GERMAIN, KAREN",Default Winner-General,Default Winner,DEMOCRATIC,2011,Standard,HOUSE DISTRICT 060,Incumbent,LOUISIANA SHERIFFS & DEPUTIES PAC,LOUISIANA SHERIFFS & DEPUTIES ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1100,1/4/2008,6/8/2020,DIR,NA,BATON ROUGE,LA,70802,1,NA,"ST GERMAIN, KAREN"
"MORRELL, J.P.","MORRELL, J P",LA,LA,DEMOCRAT,DEMOCRATIC,MORRELL,J.P.,NA,NA,3RD DISTRICT,6/2/2014,SB 294,Amendment,Very minor technical change in the language of the statute.,"MORRELL, J P",Won-General,Won,DEMOCRATIC,2007,Standard,HOUSE DISTRICT 097,Incumbent,LOUISIANA SHERIFFS & DEPUTIES,LOUISIANA SHERIFFS & DEPUTIES ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1100,10/23/2007,6/8/2020,DIR,NA,BATON ROUGE,LA,70802,1,NA,"MORRELL, J P"
