request,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Party_Committee:token,Party_Committee:id,Party_Committee,Contributor:token,Contributor:id,Contributor,Type_of_Contributor:token,Type_of_Contributor:id,Type_of_Contributor,#_of_Records,Total_$
"dt=1&y=2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000&f-fc=2&d-ccb=454,299,453&s=CA&pt-eid=4807&d-eid=3286",s,CA,CA,pt-eid,4807,"CALIFORNIA DEMOCRATIC PARTY",d-eid,3286,"CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION",d-et,3,Non-Individual,111,3925690.00
"dt=1&y=2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000&f-fc=2&d-ccb=454,299,453&s=CA&pt-eid=4807&d-eid=11470",s,CA,CA,pt-eid,4807,"CALIFORNIA DEMOCRATIC PARTY",d-eid,11470,"CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION",d-et,3,Non-Individual,67,2192000.00
"dt=1&y=2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000&f-fc=2&d-ccb=454,299,453&s=CA&pt-eid=4807&d-eid=4238",s,CA,CA,pt-eid,4807,"CALIFORNIA DEMOCRATIC PARTY",d-eid,4238,"PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA",d-et,3,Non-Individual,61,1693900.00
"dt=1&y=2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000&f-fc=2&d-ccb=454,299,453&s=FL&pt-eid=1009&d-eid=20305",s,FL,FL,pt-eid,1009,"FLORIDA REPUBLICAN PARTY",d-eid,20305,"FLORIDA POLICE BENEVOLENT ASSOCIATION",d-et,3,Non-Individual,201,1643700.00
"dt=1&y=2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000&f-fc=2&d-ccb=454,299,453&s=CA&pt-eid=4806&d-eid=3286",s,CA,CA,pt-eid,4806,"CALIFORNIA REPUBLICAN PARTY",d-eid,3286,"CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION",d-et,3,Non-Individual,82,1600650.00
"dt=1&y=2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000&f-fc=2&d-ccb=454,299,453&s=CA&pt-eid=4807&d-eid=3280",s,CA,CA,pt-eid,4807,"CALIFORNIA DEMOCRATIC PARTY",d-eid,3280,"CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN",d-et,3,Non-Individual,55,1557500.00
"dt=1&y=2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000&f-fc=2&d-ccb=454,299,453&s=FL&pt-eid=4816&d-eid=20305",s,FL,FL,pt-eid,4816,"FLORIDA DEMOCRATIC PARTY",d-eid,20305,"FLORIDA POLICE BENEVOLENT ASSOCIATION",d-et,3,Non-Individual,237,1510464.79
"dt=1&y=2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000&f-fc=2&d-ccb=454,299,453&s=NY&pt-eid=4902&d-eid=20323",s,NY,NY,pt-eid,4902,"NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE",d-eid,20323,"NEW YORK STATE CORRECTIONAL OFFICERS",d-et,3,Non-Individual,72,1178082.11
"dt=1&y=2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000&f-fc=2&d-ccb=454,299,453&s=NY&pt-eid=47145875&d-eid=20323",s,NY,NY,pt-eid,47145875,"NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE",d-eid,20323,"NEW YORK STATE CORRECTIONAL OFFICERS",d-et,3,Non-Individual,61,1063351.84
"dt=1&y=2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000&f-fc=2&d-ccb=454,299,453&s=NY&pt-eid=4903&d-eid=20323",s,NY,NY,pt-eid,4903,"NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE",d-eid,20323,"NEW YORK STATE CORRECTIONAL OFFICERS",d-et,3,Non-Individual,67,608433.99
