request,General_Party:token,General_Party:id,General_Party,Office_Holder_Jurisdiction:token,Office_Holder_Jurisdiction:id,Office_Holder_Jurisdiction,#_of_Records,Total_$
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=CA",law-p,1,Democratic,law-s,CA,CA,3730,7863014.63
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=NY",law-p,1,Democratic,law-s,NY,NY,5520,4932821.70
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=US",law-p,1,Democratic,law-s,US,US,1755,1989019.10
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=NY",law-p,2,Republican,law-s,NY,NY,3207,1985349.37
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=CA",law-p,2,Republican,law-s,CA,CA,691,1416529.53
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=NJ",law-p,1,Democratic,law-s,NJ,NJ,1570,1402143.66
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=TX",law-p,2,Republican,law-s,TX,TX,918,1335448.73
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=PA",law-p,1,Democratic,law-s,PA,PA,982,999775.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=TX",law-p,1,Democratic,law-s,TX,TX,820,965685.04
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=MA",law-p,1,Democratic,law-s,MA,MA,2284,788114.93
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=PA",law-p,2,Republican,law-s,PA,PA,805,767967.11
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=VA",law-p,1,Democratic,law-s,VA,VA,1325,657973.31
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=WA",law-p,1,Democratic,law-s,WA,WA,744,501506.16
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=US",law-p,2,Republican,law-s,US,US,695,450769.52
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=MD",law-p,1,Democratic,law-s,MD,MD,778,435605.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=NJ",law-p,2,Republican,law-s,NJ,NJ,580,423903.66
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=IL",law-p,1,Democratic,law-s,IL,IL,696,419770.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=VA",law-p,2,Republican,law-s,VA,VA,1088,400834.17
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=FL",law-p,2,Republican,law-s,FL,FL,487,328154.07
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=RI",law-p,1,Democratic,law-s,RI,RI,1184,326406.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=NY-NYC",law-p,1,Democratic,law-s,NY-NYC,NY-NYC,283,276675.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=NV",law-p,1,Democratic,law-s,NV,NV,165,276236.73
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=WA",law-p,2,Republican,law-s,WA,WA,387,258456.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=FL",law-p,1,Democratic,law-s,FL,FL,370,242994.05
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=OH",law-p,2,Republican,law-s,OH,OH,445,191349.25
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=4&law-s=CA",law-p,4,Nonpartisan,law-s,CA,CA,79,186650.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=LA",law-p,2,Republican,law-s,LA,LA,190,178699.20
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=OK",law-p,2,Republican,law-s,OK,OK,139,135350.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=DE",law-p,1,Democratic,law-s,DE,DE,472,111645.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=4&law-s=IL-CHI",law-p,4,Nonpartisan,law-s,IL-CHI,IL-CHI,147,110186.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=OR",law-p,1,Democratic,law-s,OR,OR,146,100425.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=MI",law-p,1,Democratic,law-s,MI,MI,197,95033.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=MI",law-p,2,Republican,law-s,MI,MI,194,91475.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=NC",law-p,2,Republican,law-s,NC,NC,47,91388.81
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=IL",law-p,2,Republican,law-s,IL,IL,214,91380.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=MN",law-p,1,Democratic,law-s,MN,MN,255,90763.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=MO",law-p,2,Republican,law-s,MO,MO,146,88665.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=LA",law-p,1,Democratic,law-s,LA,LA,96,87550.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=AZ",law-p,2,Republican,law-s,AZ,AZ,296,87510.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=AK",law-p,1,Democratic,law-s,AK,AK,112,81250.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=MA",law-p,2,Republican,law-s,MA,MA,218,67505.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=WI",law-p,2,Republican,law-s,WI,WI,128,55930.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=IN",law-p,2,Republican,law-s,IN,IN,149,54840.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=MD",law-p,2,Republican,law-s,MD,MD,146,50442.15
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=AK",law-p,2,Republican,law-s,AK,AK,80,50150.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=TN",law-p,1,Democratic,law-s,TN,TN,28,48600.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=OH",law-p,1,Democratic,law-s,OH,OH,103,41590.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=GA",law-p,2,Republican,law-s,GA,GA,39,40966.06
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=AL",law-p,2,Republican,law-s,AL,AL,67,37316.60
